OBJECTID,FULL_NAME,STR_NAME,STR_TYPE,MIX_FULL,MIX_NAME,GSA_LEFT,GSA_RIGHT,STR_CODE_L,STR_CODE_R,Shape__Length
1768366,UNDER REVIEW  316 UN,UNDER REVIEW  316,UN,Under Review  316 Un,Under Review  316,COLE HARBOUR,COLE HARBOUR,99999,99999,170.1195258
1768367,WATERSIDE TERR,WATERSIDE,TERR,Waterside Terr,Waterside,DARTMOUTH,DARTMOUTH,15618,15618,338.6496285
1768368,FORSYTHE ST,FORSYTHE,ST,Forsythe St,Forsythe,MCNABS ISLAND,MCNABS ISLAND,16218,16218,833.6377256
1768369,TANNER FREDERICK RD,TANNER FREDERICK,RD,Tanner Frederick Rd,Tanner Frederick,GLEN HAVEN,GLEN HAVEN,10334,10334,1956.719847
1768370,FRYDAY RD,FRYDAY,RD,Fryday Rd,Fryday,BLACK POINT,BLACK POINT,10336,10336,194.0000561
1768371,SMALL VALLEY RD,SMALL VALLEY,RD,Small Valley Rd,Small Valley,TERENCE BAY,TERENCE BAY,10888,10888,633.1770144
1768372,SOUTH RD,SOUTH,RD,South Rd,South,SOUTH SECTION,SOUTH SECTION,10890,10890,3702.625712
1768373,SOUTH SHORE RD,SOUTH SHORE,RD,South Shore Rd,South Shore,NECUM TEUCH,NECUM TEUCH,10894,10894,3320.667765
1768374,SPLIT ROCK DR,SPLIT ROCK,DR,Split Rock Dr,Split Rock,SALMON RIVER BRIDGE,SALMON RIVER BRIDGE,10895,10895,907.2727161
1768375,STRAWBERRY LANE,STRAWBERRY,LANE,Strawberry Lane,Strawberry,MINEVILLE,MINEVILLE,15217,15217,116.3358005
1768376,RITCEY CRT,RITCEY,CRT,Ritcey Crt,Ritcey,PORTERS LAKE,PORTERS LAKE,15219,15219,127.1071079
1768377,MEADOWVIEW DR,MEADOWVIEW,DR,Meadowview Dr,Meadowview,PORTERS LAKE,PORTERS LAKE,15220,15220,500.8496668
1768378,POND RD,POND,RD,Pond Rd,Pond,SMITHS SETTLEMENT,SMITHS SETTLEMENT,15224,15224,440.8365371
1768379,PERRY SETTLEMENT RD,PERRY SETTLEMENT,RD,Perry Settlement Rd,Perry Settlement,OYSTER POND,OYSTER POND,15225,15225,236.4435283
1768380,OSOOGOONE LANE,OSOOGOONE,LANE,Osoogoone Lane,Osoogoone,CLAM BAY,CLAM BAY,15226,15226,202.6246396
1768381,FRALICKS LOOP,FRALICKS,LOOP,Fralicks Loop,Fralicks,PORT DUFFERIN,PORT DUFFERIN,15227,15227,406.0275164
