X,Y,OBJECTID,ACCPRKID,STREET_NAME,FROM_STR,TO_STR,NUMSPOTS,DURATION,QUALIFIER,STATUS,COMMENTS,DIRECTION,ADJSURFMAT,OBSTRUCT,LOC_HILL,ADDDATE,MODDATE,SDATE,SOURCE,SACC
-63.56937322,44.66617161,11037,AP66,EDWARD ST,OCHTERLONEY ST,NORTH ST,1,2 Hour,,In Service,,Northwest,Grass,No,Yes,2019-10-16T16:20:24.000Z,2020-01-27T14:17:27.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.5697191,44.66677849,11038,AP62,NORTH ST,KING ST,EDWARD ST,1,No Time Restriction,,In Service,,Northeast,Grass,No,No,2019-10-16T16:20:24.000Z,2019-11-13T13:35:43.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.56536728,44.66666207,11039,AP59,PORTLAND ST,WENTWORTH ST,DUNDAS ST,1,2 Hour,,In Service,,Northeast,Concrete,No,Yes,2019-10-16T16:20:24.000Z,2019-11-13T13:35:43.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.56552701,44.66773515,11040,AP57,QUEEN ST,DUNDAS ST,VICTORIA RD,1,No Time Restriction,,In Service,,Northeast,Concrete,Yes,No,2019-10-16T16:20:24.000Z,2019-11-13T13:35:43.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.57402794,44.64572322,11041,AP75,ARGYLE ST,SACKVILLE ST,BLOWERS ST,1,3 Hour,,In Service,,South,Concrete,No,No,2019-10-16T17:44:53.000Z,2019-11-13T13:35:43.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.57560195,44.64881686,11042,AP72,ARGYLE ST,DUKE ST,CARMICHAEL ST,1,2 Hour,,In Service,,South,Concrete,No,No,2019-10-16T17:44:53.000Z,2019-11-13T13:35:42.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.56720973,44.66481989,11043,AP65,PRINCE ST,PORTLAND ST,ALDERNEY DR,1,2 Hour,,In Service,,Northwest,Concrete,No,No,2019-10-16T16:20:24.000Z,2019-11-13T13:35:42.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.57528971,44.6482002,11044,AP73,ARGYLE ST,DUKE ST,CARMICHAEL ST,1,3 Hour,,In Service,,South,Concrete,No,No,2019-10-16T17:44:53.000Z,2019-11-13T13:35:43.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.56650046,44.66859775,11045,AP64,VICTORIA RD,OCHTERLONEY ST,PARK AVE,1,2 Hour,,In Service,,Northwest,Concrete,No,Yes,2019-10-16T16:20:24.000Z,2019-11-13T13:35:42.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
-63.57707441,44.63417379,11046,AP123,INGLIS ST,TOWER RD,IVANHOE ST,1,3 Hour,,In Service,,West,Grass,Yes,No,2019-10-18T13:58:21.000Z,2019-11-13T13:35:43.000Z,2019-09-30T00:00:00.000Z,Traffic Services,Interactive
