rec_key,Year,School Code,School Total
712,2008,295,111
713,2008,941,347
714,2008,534,484
715,2008,287,79
716,2008,332,151
717,2008,589,258
718,2008,277,1009
719,2008,320,286
720,2008,355,248
721,2008,535,141
722,2008,540,344
723,2008,593,243
724,2008,575,260
725,2008,577,311
726,2008,580,235
727,2008,940,406
728,2008,583,136
729,2008,586,217
730,2008,299,534
731,2008,307,255
732,2008,85,411
733,2008,284,609
734,2008,349,60
735,2008,316,196
736,2008,591,314
737,2008,294,287
738,2008,63,346
739,2008,746,541
740,2008,706,231
741,2008,8055,9
742,2008,133,266
743,2008,993,902
744,2008,75,423
745,2008,507,209
746,2008,708,419
747,2008,363,341
748,2008,58,240
749,2008,67,841
750,2008,965,202
751,2008,141,137
752,2008,732,541
753,2008,366,134
754,2008,65,222
755,2008,753,380
756,2008,362,248
757,2008,60,201
758,2008,59,252
759,2008,24,238
760,2008,998,19
761,2008,70,984
762,2008,76,543
763,2008,379,37
764,2008,62,459
765,2008,61,145
766,2008,129,176
767,2008,1108,16
768,2008,712,673
769,2008,73,363
770,2008,364,97
771,2008,967,1066
772,2008,966,501
773,2008,72,225
774,2008,55,214
775,2008,54,211
776,2008,360,149
777,2008,1110,20
778,2008,994,600
779,2008,71,762
780,2008,376,20
781,2008,699,221
782,2008,361,167
783,2008,81,475
784,2008,8057,1
785,2008,387,230
786,2008,145,219
787,2008,433,147
788,2008,947,511
789,2008,982,239
790,2008,744,113
791,2008,948,484
792,2008,434,105
793,2008,68,427
794,2008,218,97
795,2008,217,164
796,2008,378,231
797,2008,156,193
798,2008,57,166
799,2008,221,45
800,2008,225,270
801,2008,980,363
802,2008,219,137
803,2008,160,115
804,2008,925,159
805,2008,926,458
806,2008,405,3
807,2008,509,475
808,2008,508,462
809,2008,399,461
810,2008,216,367
811,2008,207,209
812,2008,386,419
813,2008,80,402
814,2008,210,130
815,2008,1102,11
816,2008,458,25
817,2008,917,652
818,2008,710,331
819,2008,628,106
820,2008,979,38
821,2008,627,171
822,2008,465,46
823,2008,463,138
824,2008,397,222
825,2008,402,424
826,2008,214,160
827,2008,404,149
828,2008,459,147
829,2008,460,125
830,2008,409,831
831,2008,400,103
832,2008,401,83
833,2008,439,21
834,2008,392,59
835,2008,53,313
836,2008,380,16
837,2008,1107,8
838,2008,8058,1
839,2008,394,178
840,2008,500,238
841,2008,167,735
842,2008,255,64
843,2008,166,94
844,2008,497,136
845,2008,511,126
846,2008,272,33
847,2008,541,390
848,2008,257,44
849,2008,709,510
850,2008,981,429
851,2008,733,169
852,2008,927,208
853,2008,79,287
854,2008,259,141
855,2008,624,127
856,2008,711,163
857,2008,410,441
858,2008,928,483
859,2008,199,215
860,2008,498,157
861,2008,716,388
862,2008,703,166
863,2008,977,309
864,2008,8059,1
865,2008,258,15
866,2008,256,250
867,2008,385,29
868,2008,704,252
869,2008,700,698
870,2008,701,270
871,2009,96,326
872,2009,93,112
873,2009,101,306
874,2009,640,759
875,2009,551,120
876,2009,995,467
877,2009,107,235
878,2009,962,115
879,2009,186,266
880,2009,1101,409
881,2009,996,168
882,2009,98,282
883,2009,99,137
884,2009,626,117
885,2009,442,59
886,2009,416,483
887,2009,8,838
888,2009,964,393
889,2009,668,293
890,2009,549,181
891,2009,960,281
892,2009,545,146
893,2009,206,186
894,2009,202,637
895,2009,183,87
896,2009,82,967
897,2009,83,24
898,2009,180,169
899,2009,552,244
900,2009,643,162
901,2009,997,283
902,2009,444,20
903,2009,963,378
904,2009,961,104
905,2009,929,19
906,2009,1142,128
907,2009,973,191
908,2009,203,936
909,2009,182,158
910,2009,113,261
911,2009,646,534
912,2009,972,251
913,2009,644,171
914,2009,561,338
915,2009,119,257
916,2009,984,219
917,2009,553,447
918,2009,688,747
919,2009,443,63
920,2009,117,294
921,2009,185,316
922,2009,110,222
923,2009,175,186
924,2009,667,514
925,2009,934,551
926,2009,932,379
927,2009,510,72
928,2009,974,425
929,2009,986,359
930,2009,930,286
931,2009,707,885
932,2009,975,521
933,2009,484,330
934,2009,266,145
935,2009,471,188
936,2009,143,95
937,2009,1106,304
938,2009,631,121
939,2009,390,9
940,2009,146,76
941,2009,931,424
942,2009,152,630
943,2009,149,207
944,2009,491,150
945,2009,25,197
946,2009,655,356
947,2009,936,630
948,2009,976,143
949,2009,388,148
950,2009,639,380
951,2009,634,155
952,2009,248,61
953,2009,705,713
954,2009,6,185
955,2009,2,135
956,2009,7,409
957,2009,16,176
958,2009,20,476
959,2009,27,198
960,2009,269,34
961,2009,978,25
962,2009,919,63
963,2009,920,28
964,2009,8053,5
965,2009,14,185
966,2009,36,85
967,2009,44,1568
968,2009,1104,348
969,2009,230,126
970,2009,28,151
971,2009,47,245
972,2009,408,211
973,2009,750,329
974,2009,432,245
975,2009,17,181
976,2009,31,376
977,2009,30,309
978,2009,414,376
979,2009,665,344
980,2009,26,76
981,2009,42,887
982,2009,41,323
983,2009,1145,325
984,2009,1100,275
985,2009,15,112
986,2009,661,171
987,2009,38,70
988,2009,35,33
989,2009,949,291
990,2009,633,334
991,2009,5,211
992,2009,988,909
993,2009,9,249
994,2009,231,64
995,2009,989,1021
996,2009,648,177
997,2009,714,274
998,2009,649,182
999,2009,715,246
1000,2009,650,289
